EmpID	Name	TaxID	Country	HireDate	BirthDate	Salary	Bonus	DeptID	AddressInfo
1	ZZYP08	79	Q1HCLU	2007-08-22 00:00:00	2014-07-26 00:00:00	63	18	1	QGVVVZ
2	OD15Y3	38	63INGH	1999-05-24 00:00:00	2016-07-03 00:00:00	60	29	3	481E6I
3	D1ZWHC	19	9LI9P0	1996-07-14 00:00:00	2000-11-09 00:00:00	46	6	3	0HGQF0
4	MHOJX7	36	V72MBW	1994-06-14 00:00:00	2007-07-19 00:00:00	65	10	1	9YHY4D
5	IL6PPZ	11	9Y3ILT	2019-12-03 00:00:00	2006-08-27 00:00:00	12	40	5	P5IOP5
6	I4JPMQ	76	3V5T3C	2014-12-13 00:00:00	2004-02-05 00:00:00	76	3	2	LX6J3M
7	BO7HH4	20	R3BW9C	2018-01-19 00:00:00	2014-06-22 00:00:00	77	35	5	KWU0OP
8	Q4AS8B	41	DBW6MA	1996-10-09 00:00:00	1996-08-10 00:00:00	13	63	2	TM7UJ6
9	2BOZBY	79	YQ4UAY	2009-10-10 00:00:00	1994-03-24 00:00:00	56	71	2	O26U09
10	C45FSM	60	J2D6P5	2019-05-25 00:00:00	2003-09-13 00:00:00	44	64	4	SNKYCI
11	59NCLN	72	6J873Q	2016-07-16 00:00:00	2000-10-12 00:00:00	53	24	3	PKEK41
12	ZUNNE3	39	GTSK7F	2005-02-28 00:00:00	2008-09-22 00:00:00	38	48	3	PZP8PO
13	9CDDKN	8	8KG2MW	2004-11-03 00:00:00	2017-03-05 00:00:00	55	52	1	REEAJ2
14	VSGBQH	14	S6RI3D	2008-04-07 00:00:00	2004-08-20 00:00:00	76	80	4	UG8TR2
15	NE6J9G	69	4PUPUJ	2011-07-23 00:00:00	2019-05-25 00:00:00	24	66	4	1NM38P
16	MG3PFX	56	C6D8YG	2019-07-08 00:00:00	2014-06-28 00:00:00	53	31	3	02AUVO
17	WP29IX	53	5VJ0BJ	2000-02-03 00:00:00	2007-08-15 00:00:00	52	33	5	HXNE5U
18	XCZX9V	77	IXNKM3	1999-08-07 00:00:00	2014-02-26 00:00:00	56	5	3	NQG4AV
19	QCR8B1	4	Q3RBGC	2005-04-23 00:00:00	2016-08-04 00:00:00	34	42	3	7FBDWE
20	SCGSTO	32	7NE2WN	2004-11-27 00:00:00	1998-03-23 00:00:00	6	67	3	OHYT2K
21	IDL8MR	47	PROHF0	2010-04-25 00:00:00	1997-03-22 00:00:00	20	38	3	RFHHLE
22	BVVXZ7	35	9B7DXQ	2003-07-04 00:00:00	2008-02-03 00:00:00	78	33	5	A6LCNW
23	3RLVU6	17	OXE8ZT	2007-04-27 00:00:00	2011-07-16 00:00:00	58	7	2	DC2ENR
24	LSB7OS	51	IF3X4Y	2019-04-28 00:00:00	2000-02-01 00:00:00	59	30	1	AJLNN3
25	L9TBOJ	35	VO8OGG	2016-01-16 00:00:00	2007-02-11 00:00:00	80	25	5	WJOAPE
26	DKYSOR	46	AACL95	1995-05-17 00:00:00	2008-04-08 00:00:00	2	43	4	VPN90J
27	4WIWCG	22	5VLY4R	2010-05-02 00:00:00	2009-06-09 00:00:00	34	63	4	7E8CVS
28	WPTXCT	59	DAEACO	1997-08-16 00:00:00	2006-08-13 00:00:00	45	76	3	HJ2WVX
29	VV0NOW	36	UX2MAZ	2001-09-24 00:00:00	2003-09-28 00:00:00	45	17	4	JZ6HVG
30	IBHOAD	73	S7ZURI	2006-08-10 00:00:00	1996-11-21 00:00:00	46	9	3	M4PUTZ
31	R4DIVO	14	3YY8HR	1997-09-05 00:00:00	2014-06-16 00:00:00	72	24	3	ZO6MNW
32	LE3Z93	71	TJ4HD8	2000-12-18 00:00:00	2008-12-20 00:00:00	11	52	1	MDBRSU
33	B4EG6P	30	R4O08S	2004-12-07 00:00:00	1994-06-04 00:00:00	29	38	3	OAUH80
34	MK4EKE	23	I723W1	2007-07-08 00:00:00	2005-08-16 00:00:00	44	42	2	C17O3K
35	AQN5KN	58	0A7V65	2006-07-12 00:00:00	1995-08-17 00:00:00	66	36	3	PP6ST4
36	NFMU43	24	9A7CWM	2003-09-27 00:00:00	2001-07-21 00:00:00	72	44	4	2JCKRI
37	T1OEAA	1	RIKHU2	2002-11-02 00:00:00	2003-02-14 00:00:00	65	73	2	U2RRI5
38	2I09XA	22	TFQO8A	2008-08-25 00:00:00	1998-10-17 00:00:00	3	56	2	X7YESC
39	9WHF5G	18	3WMQKA	2006-04-23 00:00:00	2014-09-21 00:00:00	50	25	1	9KMV6P
40	5SCQDF	22	U15EGQ	1998-01-06 00:00:00	2002-08-18 00:00:00	9	43	2	MC64DI
41	Q0CJDG	68	KXHN1H	2002-05-01 00:00:00	1997-01-05 00:00:00	61	46	4	Q3U4WN
42	4YGVK3	5	1TI28C	2009-10-23 00:00:00	2019-06-24 00:00:00	47	4	4	3NRN35
43	EKE1D4	35	O9XE30	2015-03-05 00:00:00	1996-04-02 00:00:00	7	26	5	GZ1RYC
44	6IHNIO	16	0CD3N5	2003-12-07 00:00:00	2003-04-09 00:00:00	49	64	4	UOFQC2
45	86CLYD	67	EZ543Y	2017-01-17 00:00:00	2018-01-15 00:00:00	79	4	1	UTK03L
46	Z0W42Q	64	N7JMQS	2017-06-13 00:00:00	2014-12-02 00:00:00	12	29	5	EWFKVV
47	5N86AF	10	AVR6F3	2012-04-07 00:00:00	2003-01-25 00:00:00	66	37	5	Q9350Y
48	S6R33Z	80	FVV5N1	2019-12-19 00:00:00	2010-09-08 00:00:00	19	55	5	5NOIJ6
49	GN6O8O	19	3AV3KR	2011-12-18 00:00:00	2016-11-09 00:00:00	2	1	4	1AL192
50	5YTNJX	34	F4Y4T6	2006-09-20 00:00:00	2018-03-06 00:00:00	14	66	1	YA2NC3
51	M8IDZL	26	EP40C9	2005-12-19 00:00:00	1996-06-11 00:00:00	6	77	3	90KFAW
52	MY8KBD	4	MQ8572	2001-03-17 00:00:00	1994-04-23 00:00:00	29	65	4	EN448V
53	LG2TNA	35	IDMXRZ	2001-06-22 00:00:00	2015-10-27 00:00:00	56	49	4	NWF3JI
54	E45N2V	67	6LCE8T	2013-03-15 00:00:00	2003-11-25 00:00:00	74	41	1	Z9QHQJ
55	WAQG68	78	1ZCJGJ	1997-06-17 00:00:00	2004-07-06 00:00:00	27	41	5	4VDQA0
56	SWG08Z	44	X59M55	2009-10-16 00:00:00	2007-05-09 00:00:00	29	7	4	HEQQEC
57	HC6CO5	43	HQ9DHC	2003-01-02 00:00:00	2014-07-02 00:00:00	59	64	5	JKF3M0
58	G54W1W	46	UT6CYM	1998-10-22 00:00:00	2007-11-07 00:00:00	4	54	5	GXGAGR
59	21EVU0	54	UJ4XWN	2018-03-28 00:00:00	2003-12-01 00:00:00	53	5	4	HI8L9R
60	XHISJQ	42	TT7P0G	2001-05-23 00:00:00	2001-11-25 00:00:00	16	62	3	TPIMJC
61	2Y1HZY	3	SKKHD3	2004-12-27 00:00:00	2005-10-10 00:00:00	26	74	1	B90GP1
62	Z3TURW	75	CUK8SY	2006-12-21 00:00:00	1996-12-19 00:00:00	5	1	5	DGIFN4
63	IIELMF	50	FUSPSX	2019-05-26 00:00:00	2005-07-20 00:00:00	12	70	4	8MB2IV
64	QMOSMU	22	Z4LG07	2016-12-13 00:00:00	2015-10-08 00:00:00	64	35	1	6LGQJ1
65	NAEK7P	25	F4CJRH	1996-09-27 00:00:00	2009-08-22 00:00:00	37	51	3	H8RA2P
66	QNRSKN	45	ZTTA3E	2007-04-24 00:00:00	2016-09-25 00:00:00	66	41	5	9IKHLF
67	KTOS6V	26	KVERTI	1995-06-05 00:00:00	2003-06-28 00:00:00	43	21	1	L321K6
68	6MPO5X	1	TERIW3	2005-03-08 00:00:00	2006-08-19 00:00:00	46	71	5	TCWBHI
69	RQG2AN	33	TZ07YB	2016-06-10 00:00:00	2017-05-20 00:00:00	70	22	1	JE1XRP
70	7QP776	10	58GBYB	2017-07-08 00:00:00	1999-12-03 00:00:00	59	14	5	00RK03
71	7NURAW	20	U3LFKE	1996-07-06 00:00:00	2014-03-22 00:00:00	49	23	2	513WN2
72	N2ZYMI	60	PQ3OH1	1998-04-25 00:00:00	1994-03-26 00:00:00	35	20	2	SVVDSO
73	MGM5YW	32	NL8FDO	2008-01-08 00:00:00	2009-08-13 00:00:00	56	77	5	PNJCNB
74	0YKIOR	39	UMTSXC	2008-11-28 00:00:00	1996-05-24 00:00:00	17	62	1	IU71GK
75	1I2DL5	55	UHLRFL	1996-02-04 00:00:00	2005-03-25 00:00:00	24	34	5	QD6A2L
76	TGBSWG	2	8B19K5	2007-04-06 00:00:00	2000-05-27 00:00:00	2	44	4	G8LYG8
77	EWU95U	60	EGFZD3	2017-09-09 00:00:00	1995-05-17 00:00:00	59	16	3	42QY75
78	CJW7ZJ	57	EKQM85	1994-06-11 00:00:00	2000-03-07 00:00:00	66	11	3	AG5Y8D
79	9JNJ0A	19	2PANZP	2014-09-12 00:00:00	2013-08-16 00:00:00	38	51	1	49UJS4
